home_loc_cd,trv_idx,age_cd,loc_type,home_loc_nm,sex_cd,yw,id_cnt,date
11,0.1393253725097517,40,sido,서울특별시,1,202212,334555,2022-03-19T00:00:00+09:00
11,0.152502344850342,50,sido,서울특별시,1,202212,327313,2022-03-19T00:00:00+09:00
11,0.0943350074368068,20,sido,서울특별시,1,202212,253469,2022-03-19T00:00:00+09:00
11,0.0363186158634325,10,sido,서울특별시,1,202212,160331,2022-03-19T00:00:00+09:00
11,0.1237422010066047,60,sido,서울특별시,1,202212,273593,2022-03-19T00:00:00+09:00
11,0.1257973964574749,30,sido,서울특별시,1,202212,304585,2022-03-19T00:00:00+09:00
11,0.043769246561281,0,sido,서울특별시,1,202212,24355,2022-03-19T00:00:00+09:00
11,0.0601068982016361,70,sido,서울특별시,1,202212,171378,2022-03-19T00:00:00+09:00
11,0.0734602297537411,40,sido,서울특별시,2,202212,364129,2022-03-19T00:00:00+09:00
11,0.035586176860214,10,sido,서울특별시,2,202212,165317,2022-03-19T00:00:00+09:00
11,0.0447815357816809,0,sido,서울특별시,2,202212,27556,2022-03-19T00:00:00+09:00
11,0.0769331930562861,60,sido,서울특별시,2,202212,311764,2022-03-19T00:00:00+09:00
11,0.095259034090728,30,sido,서울특별시,2,202212,313839,2022-03-19T00:00:00+09:00
11,0.1000824003704611,20,sido,서울특별시,2,202212,293688,2022-03-19T00:00:00+09:00
11,0.0954002074484421,50,sido,서울특별시,2,202212,345146,2022-03-19T00:00:00+09:00
11,0.0380776810120144,70,sido,서울특별시,2,202212,188772,2022-03-19T00:00:00+09:00
11,0.0811356518872589,0,sido,서울특별시,1,202207,24268,2022-02-12T00:00:00+09:00
11,0.0928492571680913,10,sido,서울특별시,1,202207,158515,2022-02-12T00:00:00+09:00
11,0.046158246838916,70,sido,서울특별시,1,202207,171302,2022-02-12T00:00:00+09:00
11,0.122847859911504,20,sido,서울특별시,1,202207,255153,2022-02-12T00:00:00+09:00
11,0.1348230603090214,40,sido,서울특별시,1,202207,337064,2022-02-12T00:00:00+09:00
11,0.1012926336593376,60,sido,서울특별시,1,202207,275252,2022-02-12T00:00:00+09:00
11,0.133487754651539,50,sido,서울특별시,1,202207,330697,2022-02-12T00:00:00+09:00
11,0.1193420847616079,30,sido,서울특별시,1,202207,308064,2022-02-12T00:00:00+09:00
11,0.1270171642022488,20,sido,서울특별시,2,202207,290197,2022-02-12T00:00:00+09:00
11,0.0899355731989497,10,sido,서울특별시,2,202207,160337,2022-02-12T00:00:00+09:00
11,0.0343872004084976,70,sido,서울특별시,2,202207,188006,2022-02-12T00:00:00+09:00
11,0.0964925024318144,30,sido,서울특별시,2,202207,316636,2022-02-12T00:00:00+09:00
11,0.0673385411643681,60,sido,서울특별시,2,202207,311070,2022-02-12T00:00:00+09:00
11,0.0887349853911914,0,sido,서울특별시,2,202207,27723,2022-02-12T00:00:00+09:00
