home_loc_cd,trv_idx,age_cd,loc_type,home_loc_nm,sex_cd,yw,id_cnt,date
45,0.13102447038147816,60,sido,전라북도,1,202206,52349,2022-02-05T00:00:00+09:00
45,0.06880189798339265,0,sido,전라북도,1,202206,5901,2022-02-05T00:00:00+09:00
45,0.16969561199630365,30,sido,전라북도,1,202206,35711,2022-02-05T00:00:00+09:00
45,0.05970498028333577,70,sido,전라북도,1,202206,34235,2022-02-05T00:00:00+09:00
46,0.08092824753267538,10,sido,전라남도,1,202206,37490,2022-02-05T00:00:00+09:00
46,0.05424616535727647,0,sido,전라남도,1,202206,8019,2022-02-05T00:00:00+09:00
46,0.1138697557921102,60,sido,전라남도,1,202206,63880,2022-02-05T00:00:00+09:00
46,0.18804559926055253,20,sido,전라남도,1,202206,38948,2022-02-05T00:00:00+09:00
46,0.1543775508583589,40,sido,전라남도,1,202206,62969,2022-02-05T00:00:00+09:00
46,0.1504448245230235,50,sido,전라남도,1,202206,75423,2022-02-05T00:00:00+09:00
46,0.05617055208968526,70,sido,전라남도,1,202206,42638,2022-02-05T00:00:00+09:00
46,0.1680591968245412,30,sido,전라남도,1,202206,40813,2022-02-05T00:00:00+09:00
47,0.16868232475077424,40,sido,경상북도,1,202206,88474,2022-02-05T00:00:00+09:00
47,0.1625520003110299,50,sido,경상북도,1,202206,102884,2022-02-05T00:00:00+09:00
47,0.19197381777451084,20,sido,경상북도,1,202206,57138,2022-02-05T00:00:00+09:00
47,0.12346261026253483,60,sido,경상북도,1,202206,95454,2022-02-05T00:00:00+09:00
47,0.09962858228168657,10,sido,경상북도,1,202206,47386,2022-02-05T00:00:00+09:00
47,0.17787894932274262,30,sido,경상북도,1,202206,61941,2022-02-05T00:00:00+09:00
47,0.07774509803921568,0,sido,경상북도,1,202206,10200,2022-02-05T00:00:00+09:00
47,0.06278345760627257,70,sido,경상북도,1,202206,52036,2022-02-05T00:00:00+09:00
48,0.054609634551495013,0,sido,경상남도,1,202206,14448,2022-02-05T00:00:00+09:00
48,0.1498663477771525,30,sido,경상남도,1,202206,85296,2022-02-05T00:00:00+09:00
48,0.143250049970018,40,sido,경상남도,1,202206,125075,2022-02-05T00:00:00+09:00
48,0.164006679624408,20,sido,경상남도,1,202206,73058,2022-02-05T00:00:00+09:00
48,0.11201007964721235,60,sido,경상남도,1,202206,111115,2022-02-05T00:00:00+09:00
48,0.14373935423842005,50,sido,경상남도,1,202206,133269,2022-02-05T00:00:00+09:00
48,0.05463059313215401,70,sido,경상남도,1,202206,55738,2022-02-05T00:00:00+09:00
48,0.07637972852219055,10,sido,경상남도,1,202206,70503,2022-02-05T00:00:00+09:00
50,0.09480595516895282,40,sido,제주특별자치도,1,202206,23912,2022-02-05T00:00:00+09:00
50,0.13470555511404275,20,sido,제주특별자치도,1,202206,12583,2022-02-05T00:00:00+09:00
50,0.04742547425474255,0,sido,제주특별자치도,1,202206,2214,2022-02-05T00:00:00+09:00
50,0.09975189261403397,30,sido,제주특별자치도,1,202206,15719,2022-02-05T00:00:00+09:00
50,0.07251518249052974,60,sido,제주특별자치도,1,202206,16631,2022-02-05T00:00:00+09:00
50,0.08410655492367555,10,sido,제주특별자치도,1,202206,13364,2022-02-05T00:00:00+09:00
50,0.044165700432170336,70,sido,제주특별자치도,1,202206,9487,2022-02-05T00:00:00+09:00
50,0.09036171446411846,50,sido,제주특별자치도,1,202206,22421,2022-02-05T00:00:00+09:00
11,0.08211584972148353,40,sido,서울특별시,2,202206,365508,2022-02-05T00:00:00+09:00
11,0.09018459555757713,30,sido,서울특별시,2,202206,316584,2022-02-05T00:00:00+09:00
11,0.03447881881871485,70,sido,서울특별시,2,202206,192553,2022-02-05T00:00:00+09:00
11,0.11745366773942958,20,sido,서울특별시,2,202206,288352,2022-02-05T00:00:00+09:00
11,0.08850561800989093,50,sido,서울특별시,2,202206,347187,2022-02-05T00:00:00+09:00
11,0.06492271943104602,0,sido,서울특별시,2,202206,28403,2022-02-05T00:00:00+09:00
11,0.070713718088805,10,sido,서울특별시,2,202206,161072,2022-02-05T00:00:00+09:00
11,0.06738904604369436,60,sido,서울특별시,2,202206,312855,2022-02-05T00:00:00+09:00
26,0.07117321460241009,40,sido,부산광역시,2,202206,107133,2022-02-05T00:00:00+09:00
26,0.04379686434901159,0,sido,부산광역시,2,202206,11736,2022-02-05T00:00:00+09:00
26,0.057786925414093894,10,sido,부산광역시,2,202206,51015,2022-02-05T00:00:00+09:00
26,0.06408022813358644,60,sido,부산광역시,2,202206,115371,2022-02-05T00:00:00+09:00
26,0.12602648140342718,20,sido,부산광역시,2,202206,68803,2022-02-05T00:00:00+09:00
26,0.032150168680257205,70,sido,부산광역시,2,202206,69362,2022-02-05T00:00:00+09:00
26,0.08345349839024169,50,sido,부산광역시,2,202206,110265,2022-02-05T00:00:00+09:00
26,0.08867450607950214,30,sido,부산광역시,2,202206,80023,2022-02-05T00:00:00+09:00
27,0.081853879105188,60,sido,대구광역시,2,202206,84040,2022-02-05T00:00:00+09:00
27,0.10312849047516574,40,sido,대구광역시,2,202206,97587,2022-02-05T00:00:00+09:00
27,0.17226234146501948,20,sido,대구광역시,2,202206,60791,2022-02-05T00:00:00+09:00
27,0.06695242177453922,0,sido,대구광역시,2,202206,11665,2022-02-05T00:00:00+09:00
27,0.041081525650251874,70,sido,대구광역시,2,202206,48635,2022-02-05T00:00:00+09:00
27,0.08727294720077415,10,sido,대구광역시,2,202206,49603,2022-02-05T00:00:00+09:00
27,0.1207986432315757,30,sido,대구광역시,2,202206,64860,2022-02-05T00:00:00+09:00
27,0.10955345277230988,50,sido,대구광역시,2,202206,100079,2022-02-05T00:00:00+09:00
28,0.0335218184685395,70,sido,인천광역시,2,202206,44389,2022-02-05T00:00:00+09:00
28,0.0627275273032764,60,sido,인천광역시,2,202206,82133,2022-02-05T00:00:00+09:00
28,0.07233966639907234,0,sido,인천광역시,2,202206,11211,2022-02-05T00:00:00+09:00
28,0.07168957717069775,10,sido,인천광역시,2,202206,51723,2022-02-05T00:00:00+09:00
